model;del;dyn;pos;sub;thr;win;dim;neg;eig;neg;w+c;similarity_threshold;pearsonr;pearson_pval
svd;False;False;False;False;100;10;100;1;1;1;False;0.70;-0.0882;0.1448
svd;False;False;False;False;100;10;100;1;1;1;False;0.80;-0.1137;0.0597
svd;False;False;False;False;100;10;100;1;1;1;False;0.90;0.0174;0.7733
svd;False;False;False;False;100;10;100;15;1;1;False;0.60;0.0504;0.4053
svd;False;False;False;False;100;10;100;15;1;1;False;0.70;0.0513;0.3967
svd;False;False;False;False;100;10;100;15;1;1;False;0.80;0.0550;0.3632
svd;False;False;False;False;100;10;100;15;1;1;False;0.90;0.0550;0.3640
svd;False;True;False;False;100;10;100;1;1;1;False;0.60;-0.0890;0.1409
svd;False;True;False;False;100;10;100;1;1;1;False;0.70;-0.1188;0.0491
svd;False;True;False;False;100;10;100;1;1;1;False;0.80;-0.1053;0.0813
svd;False;True;False;False;100;10;100;1;1;1;False;0.90;-0.0272;0.6538
svd;False;True;False;False;100;10;100;15;1;1;False;0.60;0.0588;0.3316
svd;False;True;False;False;100;10;100;15;1;1;False;0.70;0.0551;0.3625
svd;False;True;False;False;100;10;100;15;1;1;False;0.80;0.0583;0.3351
svd;False;True;False;False;100;10;100;15;1;1;False;0.90;0.0562;0.3536
